benchMark,Instrs,Time(s),Analysis(s),Divide(s),Check(s),Completed
schedule,3694970,202.79,191.868s,0.0018296s,17485
printtokens2,8405255302,7208.14,7.27941s,9.97549s,5680793
tcas,16658,10.90,0.04633s,0.000324054s,254
schedule2,13803297,161.20,125.901s,0.0385623s,20064
