benchMark,Instrs,Time(s),Analysis(s),Divide(s),Check(s),Completed
schedule,605840,5.90,0.0002616s,0.0402398s,0.000839995s,2109
printtokens2,161630405,412.71,0.000712605s,120.711s,0.219431s,107881
replace,82509653,573.39,0.0286272s,442.623s,0.181521s,70583
printtokens,32596681,2052.09,0.000248406s,0.618065s,0.0015533s,1065
tcas,10305,6.23,0.000120232s,0.0063685s,0.000220843s,141
schedule2,14829709,47.15,0.000185707s,1.40235s,0.0158488s,20881
