benchMark,Instrs_1,Instrs_2,Instrs_3,Instrs_4,Instrs_5,Time(s)_1,Time(s)_2,Time(s)_3,Time(s)_4,Time(s)_5,ICov(%)_1,ICov(%)_2,ICov(%)_3,ICov(%)_4,ICov(%)_5,BCov(%)_1,BCov(%)_2,BCov(%)_3,BCov(%)_4,BCov(%)_5,Mem(MB)_1,Mem(MB)_2,Mem(MB)_3,Mem(MB)_4,Mem(MB)_5,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5
klee-out-head,1715383404,1702336487,1597738200,1716298674,1697501589,7206.7,7205.79,7209.21,7205.47,7206.08,40.24,40.24,40.24,38.81,38.81,30.44,30.47,30.47,30.14,30.11,206.0,231.45,223.17,234.92,238.99,165142,167037,165451,167209,169444
klee-out-ln,3632495702,3583290013,3402107828,3674275846,3604612650,7201.26,7201.12,7201.09,7201.01,7200.99,39.6,39.64,39.6,38.28,38.39,31.72,31.72,31.75,31.22,31.36,180.94,177.28,176.08,181.85,179.15,266690,262583,249555,273103,264710
klee-out-pwd,45092398,43897398,43897398,21636547,21636547,36.22,35.71,36.91,21.22,21.75,25.68,25.68,25.68,24.11,24.11,17.47,17.47,17.47,17.1,17.1,64.94,64.94,64.94,65.01,64.95,2103,2103,2103,2103,2103
klee-out-paste,1496655245,1634009944,1511283623,1669902484,1643572946,7208.32,7207.97,7208.08,7207.35,7207.25,41.25,41.25,41.25,39.68,39.68,31.63,31.63,31.63,31.26,31.26,111.71,112.7,110.38,117.58,114.34,134495,145230,136793,149431,148592
klee-out-split,3232020725,2833297060,2801969015,3289478637,3412149932,6991.85,7212.99,7211.91,7216.52,7214.16,34.42,34.42,34.42,33.12,33.12,25.54,25.54,25.51,25.2,25.26,11627.06,1437.54,1433.1,427.79,426.98,263484,243172,235449,282196,288590
klee-out-sort,1069487894,1002081932,968217371,965212502,957207625,7208.73,7208.5,7208.66,7208.21,7208.87,23.2,23.03,23.03,22.03,21.87,16.77,16.67,16.67,16.28,16.19,484.29,449.65,448.81,447.83,447.96,143263,136882,132927,139361,137489
klee-out-pinky,3228277969,3417117430,3417117430,3195303307,3195303307,2940.41,3017.66,3304.94,2758.43,2762.5,23.67,24.39,24.39,23.27,23.27,16.01,16.67,16.67,16.41,16.41,73.35,73.37,73.86,73.38,73.35,95206,94517,94517,89557,89557
klee-out-groups,1843349426,1933227599,1933227599,1780079831,1780079831,3027.43,3105.87,3249.23,2880.17,2945.33,37.29,37.29,37.29,35.8,35.8,25.85,25.85,25.85,25.51,25.51,82.3,82.25,82.21,78.4,78.35,14243,14421,14421,14031,14031
klee-out-echo,47296465,46290990,46290990,24382975,24382975,41.7,41.17,41.58,27.45,27.6,21.47,21.47,21.47,19.29,19.29,14.22,14.22,14.22,13.58,13.58,40.77,40.78,40.78,40.76,40.76,7866,7868,7868,7868,7868
klee-out-make-prime-list,2932679,2932639,2932639,2932559,2932559,55.23,55.86,57.28,56.06,56.98,22.13,22.13,22.13,22.13,22.13,14.0,14.0,14.0,14.0,14.0,84.59,84.57,84.79,84.56,84.62,565,565,565,565,565
klee-out-users,106871952,119403775,119403775,100182662,100182662,299.44,347.1,354.63,333.98,336.99,36.12,37.16,37.16,35.57,35.57,25.84,26.85,26.85,26.47,26.47,65.86,65.92,65.94,65.98,65.97,7934,9211,9211,9394,9394
klee-out-logname,130446822,152808231,152808231,79351915,79351915,250.36,324.26,327.32,184.46,183.77,32.58,32.58,32.58,30.96,30.96,22.61,22.61,22.61,22.23,22.23,64.9,64.88,64.88,65.13,65.13,9709,11613,11613,7045,7045
klee-out-stdbuf,337580600,323176079,342128506,317809607,317809607,2322.84,2094.88,2261.01,2356.13,2352.02,38.16,38.16,38.16,36.69,36.69,26.94,26.94,26.94,26.6,26.6,135.7,121.44,123.47,144.54,144.48,23850,22578,24175,24541,24541
klee-out-basename,106022925,98879387,98879387,75748377,75748377,249.5,240.66,237.14,216.41,217.75,33.99,33.99,33.99,32.39,32.39,24.25,24.25,24.25,23.87,23.87,74.89,74.85,74.98,74.69,74.64,11275,10741,10741,10547,10547
klee-out-unlink,153463515,150870094,150870094,132636933,132636933,327.01,326.12,330.5,310.03,311.13,34.82,34.82,34.82,33.19,33.19,26.18,26.18,26.18,25.8,25.8,71.41,72.02,72.08,71.3,71.33,11455,11377,11377,11610,11610
klee-out-pr,669911791,711440905,671042999,693391150,702350434,7216.81,7214.59,7216.36,7217.87,7216.98,25.51,25.51,25.51,24.46,24.46,17.98,17.98,17.98,17.75,17.75,518.7,500.71,502.72,516.4,502.7,72283,79389,74555,82592,83774
klee-out-link,638474919,356389247,356389247,305208442,305208442,1678.4,1069.61,1068.22,847.77,841.52,35.71,35.71,35.71,34.09,34.09,26.43,26.43,26.43,26.05,26.05,79.06,72.13,72.12,81.47,81.48,35566,19900,19900,18548,18548
klee-out-printf,312812382,406790058,406790058,268398477,268398477,1091.89,1603.65,1577.96,957.62,974.19,35.23,35.24,35.24,33.74,33.74,28.66,28.73,28.73,28.26,28.26,123.72,254.27,254.5,122.59,122.63,24454,30011,30011,22047,22047
klee-out-sha384sum,350251167,308772729,297052131,648019969,647454963,7211.62,7213.94,7213.08,7961.1,7216.41,52.12,51.94,51.94,51.1,51.13,25.56,25.4,25.4,25.36,25.4,1126.36,1144.76,1137.8,1229.78,1101.01,141178,142600,137719,106261,116905
klee-out-chroot,420872974,484854748,485374439,479376110,499917222,7202.73,7202.27,7202.61,7202.72,7202.58,29.27,30.23,30.23,28.96,28.19,21.26,22.34,22.34,22.0,21.23,120.15,121.17,120.79,120.14,118.74,43443,46719,46719,47265,50989
klee-out-kill,1628694253,1637484333,1506003734,1680883737,1714759143,7200.84,7200.77,7200.74,7200.74,7200.67,39.09,38.86,39.09,37.54,37.54,29.24,29.24,29.24,28.89,28.89,207.51,201.53,203.73,200.31,200.55,105791,102201,91614,112342,115233
